state,district,region,biometric_total,demographic_total,enrolment_total,child_enrolment,adult_enrolment,total_activity,bio_coverage_pct,child_share_pct
Uttar Pradesh,Mathura,UTTAR PRADESH - MATHURA,94373.0,52220.0,10428.0,10349.0,79.0,157021.0,905.0,99.24
Maharashtra,Gadchiroli,MAHARASHTRA - GADCHIROLI,113333.0,40147.0,2044.0,2023.0,21.0,155524.0,5544.67,98.97
Madhya Pradesh,Guna,MADHYA PRADESH - GUNA,111079.0,35227.0,8767.0,8705.0,62.0,155073.0,1267.01,99.29
Rajasthan,Churu,RAJASTHAN - CHURU,104541.0,39052.0,11472.0,11317.0,155.0,155065.0,911.27,98.65
Maharashtra,Washim,MAHARASHTRA - WASHIM,111429.0,40018.0,3032.0,2987.0,45.0,154479.0,3675.1,98.52
Maharashtra,Ratnagiri,MAHARASHTRA - RATNAGIRI,114018.0,37727.0,2294.0,2264.0,30.0,154039.0,4970.27,98.69
Bihar,Supaul,BIHAR - SUPAUL,83594.0,60044.0,9037.0,8902.0,135.0,152675.0,925.02,98.51
Madhya Pradesh,Balaghat,MADHYA PRADESH - BALAGHAT,93695.0,52276.0,6095.0,6071.0,24.0,152066.0,1537.24,99.61
Bihar,Gopalganj,BIHAR - GOPALGANJ,79095.0,57997.0,14009.0,13821.0,188.0,151101.0,564.6,98.66
Bihar,Madhepura,BIHAR - MADHEPURA,87282.0,55891.0,7783.0,7756.0,27.0,150956.0,1121.44,99.65
Bihar,Saharsa,BIHAR - SAHARSA,90225.0,48602.0,11858.0,11675.0,183.0,150685.0,760.88,98.46
Chhattisgarh,Korba,CHHATTISGARH - KORBA,80421.0,66763.0,3205.0,3194.0,11.0,150389.0,2509.24,99.66
Madhya Pradesh,Damoh,MADHYA PRADESH - DAMOH,106885.0,37553.0,5419.0,5373.0,46.0,149857.0,1972.41,99.15
Gujarat,Bhavnagar,GUJARAT - BHAVNAGAR,111947.0,28360.0,9272.0,8841.0,431.0,149579.0,1207.37,95.35
Madhya Pradesh,Vidisha,MADHYA PRADESH - VIDISHA,103611.0,36211.0,9505.0,9342.0,163.0,149327.0,1090.07,98.29
Punjab,Gurdaspur,PUNJAB - GURDASPUR,93583.0,50059.0,4679.0,4553.0,126.0,148321.0,2000.06,97.31
Uttar Pradesh,Maharajganj,UTTAR PRADESH - MAHARAJGANJ,79842.0,51808.0,16307.0,15909.0,398.0,147957.0,489.62,97.56
Tamil Nadu,Tiruvannamalai,TAMIL NADU - TIRUVANNAMALAI,102795.0,38196.0,6340.0,6312.0,28.0,147331.0,1621.37,99.56
Chhattisgarh,Surguja,CHHATTISGARH - SURGUJA,62526.0,81239.0,3030.0,3019.0,11.0,146795.0,2063.56,99.64
Gujarat,Kachchh,GUJARAT - KACHCHH,96254.0,41997.0,8508.0,8010.0,498.0,146759.0,1131.34,94.15
Telangana,Medak,TELANGANA - MEDAK,103997.0,34060.0,6980.0,6974.0,6.0,145037.0,1489.93,99.91
Haryana,Gurgaon,HARYANA - GURGAON,55436.0,82968.0,6353.0,6179.0,174.0,144757.0,872.6,97.26
Uttar Pradesh,Siddharthnagar,UTTAR PRADESH - SIDDHARTHNAGAR,80934.0,50009.0,12935.0,12569.0,366.0,143878.0,625.7,97.17
Haryana,Hisar,HARYANA - HISAR,94094.0,44343.0,4803.0,4786.0,17.0,143240.0,1959.07,99.65
Bihar,Aurangabad,BIHAR - AURANGABAD,74778.0,59513.0,8874.0,8813.0,61.0,143165.0,842.66,99.31
Uttar Pradesh,Mirzapur,UTTAR PRADESH - MIRZAPUR,84661.0,51049.0,6892.0,6884.0,8.0,142602.0,1228.4,99.88
Rajasthan,Bhilwara,RAJASTHAN - BHILWARA,94088.0,38231.0,9757.0,9585.0,172.0,142076.0,964.31,98.24
West Bengal,Cooch Behar,WEST BENGAL - COOCH BEHAR,36891.0,94301.0,9913.0,9673.0,240.0,141105.0,372.15,97.58
Jharkhand,East Singhbhum,JHARKHAND - EAST SINGHBHUM,105942.0,27346.0,7193.0,7100.0,93.0,140481.0,1472.85,98.71
West Bengal,Kolkata,WEST BENGAL - KOLKATA,72162.0,58682.0,9596.0,8903.0,693.0,140440.0,752.0,92.78
Bihar,Banka,BIHAR - BANKA,75026.0,55396.0,9968.0,9892.0,76.0,140390.0,752.67,99.24
Kerala,Kollam,KERALA - KOLLAM,103324.0,32355.0,4536.0,4328.0,208.0,140215.0,2277.87,95.41
Telangana,Nizamabad,TELANGANA - NIZAMABAD,93607.0,40382.0,6030.0,6024.0,6.0,140019.0,1552.35,99.9
Uttar Pradesh,Basti,UTTAR PRADESH - BASTI,86978.0,43809.0,9055.0,8987.0,68.0,139842.0,960.55,99.25
Kerala,Kannur,KERALA - KANNUR,99272.0,34764.0,5375.0,5163.0,212.0,139411.0,1846.92,96.06
Jharkhand,West Singhbhum,JHARKHAND - WEST SINGHBHUM,100481.0,32512.0,6266.0,6223.0,43.0,139259.0,1603.59,99.31
Tamil Nadu,Virudhunagar,TAMIL NADU - VIRUDHUNAGAR,95363.0,37284.0,4745.0,4740.0,5.0,137392.0,2009.76,99.89
Jharkhand,Giridih,JHARKHAND - GIRIDIH,84076.0,39491.0,13256.0,13178.0,78.0,136823.0,634.25,99.41
Punjab,Jalandhar,PUNJAB - JALANDHAR,103652.0,28949.0,3638.0,3573.0,65.0,136239.0,2849.15,98.21
Uttar Pradesh,Shamli,UTTAR PRADESH - SHAMLI,80757.0,47709.0,7393.0,7351.0,42.0,135859.0,1092.34,99.43
Madhya Pradesh,Singrauli,MADHYA PRADESH - SINGRAULI,87878.0,42206.0,5625.0,5608.0,17.0,135709.0,1562.28,99.7
Madhya Pradesh,Dewas,MADHYA PRADESH - DEWAS,98153.0,27763.0,9576.0,9506.0,70.0,135492.0,1024.99,99.27
Uttar Pradesh,Amroha,UTTAR PRADESH - AMROHA,73834.0,53696.0,7326.0,7277.0,49.0,134856.0,1007.84,99.33
Uttar Pradesh,Sambhal,UTTAR PRADESH - SAMBHAL,80616.0,45894.0,7793.0,7705.0,88.0,134303.0,1034.47,98.87
Uttar Pradesh,Sultanpur,UTTAR PRADESH - SULTANPUR,77065.0,46767.0,10359.0,10228.0,131.0,134191.0,743.94,98.74
Madhya Pradesh,Sidhi,MADHYA PRADESH - SIDHI,95194.0,32964.0,5590.0,5577.0,13.0,133748.0,1702.93,99.77
Odisha,Cuttack,ODISHA - CUTTACK,108059.0,21121.0,4475.0,4462.0,13.0,133655.0,2414.73,99.71
Madhya Pradesh,Raisen,MADHYA PRADESH - RAISEN,99335.0,27134.0,6577.0,6460.0,117.0,133046.0,1510.34,98.22
Jharkhand,Palamu,JHARKHAND - PALAMU,83422.0,41603.0,7792.0,7751.0,41.0,132817.0,1070.61,99.47
Chandigarh,Chandigarh,CHANDIGARH - CHANDIGARH,64541.0,65041.0,2411.0,2378.0,33.0,131993.0,2676.94,98.63
Tamil Nadu,Pudukkottai,TAMIL NADU - PUDUKKOTTAI,97054.0,28668.0,6219.0,6197.0,22.0,131941.0,1560.6,99.65
Uttar Pradesh,Chandauli,UTTAR PRADESH - CHANDAULI,71124.0,51420.0,8887.0,8717.0,170.0,131431.0,800.32,98.09
Uttar Pradesh,Jhansi,UTTAR PRADESH - JHANSI,87832.0,37037.0,6267.0,6207.0,60.0,131136.0,1401.5,99.04
Uttarakhand,Haridwar,UTTARAKHAND - HARIDWAR,87188.0,37670.0,5258.0,5237.0,21.0,130116.0,1658.2,99.6
Madhya Pradesh,Shajapur,MADHYA PRADESH - SHAJAPUR,103072.0,19680.0,6215.0,6197.0,18.0,128967.0,1658.44,99.71
Maharashtra,Gondiya,MAHARASHTRA - GONDIYA,76238.0,50011.0,2453.0,2451.0,2.0,128702.0,3107.95,99.92
Karnataka,Raichur,KARNATAKA - RAICHUR,88922.0,31065.0,8670.0,8571.0,99.0,128657.0,1025.63,98.86
Bihar,Nawada,BIHAR - NAWADA,61872.0,52195.0,13937.0,13676.0,261.0,128004.0,443.94,98.13
Tamil Nadu,Krishnagiri,TAMIL NADU - KRISHNAGIRI,90371.0,32706.0,4440.0,4434.0,6.0,127517.0,2035.38,99.86
Andhra Pradesh,Ananthapuramu,ANDHRA PRADESH - ANANTHAPURAMU,87964.0,36622.0,2858.0,2850.0,8.0,127444.0,3077.82,99.72
Chhattisgarh,Bastar,CHHATTISGARH - BASTAR,73215.0,48282.0,5584.0,5578.0,6.0,127081.0,1311.16,99.89
Haryana,Panipat,HARYANA - PANIPAT,62431.0,58270.0,5712.0,5667.0,45.0,126413.0,1092.98,99.21
Assam,Barpeta,ASSAM - BARPETA,77013.0,35732.0,13530.0,13010.0,520.0,126275.0,569.2,96.16
Rajasthan,Kota,RAJASTHAN - KOTA,74416.0,45285.0,6539.0,6440.0,99.0,126240.0,1138.03,98.49
Tamil Nadu,Thoothukkudi,TAMIL NADU - THOOTHUKKUDI,95829.0,25375.0,4668.0,4665.0,3.0,125872.0,2052.89,99.94
Uttar Pradesh,Kaushambi,UTTAR PRADESH - KAUSHAMBI,78797.0,39602.0,6894.0,6828.0,66.0,125293.0,1142.98,99.04
Uttar Pradesh,Balrampur,UTTAR PRADESH - BALRAMPUR,76508.0,37228.0,11357.0,11133.0,224.0,125093.0,673.66,98.03
Chhattisgarh,Bemetara,CHHATTISGARH - BEMETARA,85399.0,36969.0,2465.0,2457.0,8.0,124833.0,3464.46,99.68
Tamil Nadu,Namakkal,TAMIL NADU - NAMAKKAL,93007.0,26859.0,4298.0,4291.0,7.0,124164.0,2163.96,99.84
Karnataka,Belgaum,KARNATAKA - BELGAUM,85558.0,30712.0,6020.0,6019.0,1.0,122290.0,1421.23,99.98
Rajasthan,Jhunjhunun,RAJASTHAN - JHUNJHUNUN,86766.0,28485.0,6795.0,6716.0,79.0,122046.0,1276.91,98.84
Uttar Pradesh,Faizabad,UTTAR PRADESH - FAIZABAD,76211.0,39014.0,6078.0,6077.0,1.0,121303.0,1253.88,99.98
Jharkhand,Bokaro,JHARKHAND - BOKARO,88349.0,27546.0,5129.0,5114.0,15.0,121024.0,1722.54,99.71
Delhi,North Delhi,DELHI - NORTH DELHI,49205.0,67631.0,4092.0,4013.0,79.0,120928.0,1202.47,98.07
Uttar Pradesh,Amethi,UTTAR PRADESH - AMETHI,73525.0,40771.0,6406.0,6352.0,54.0,120702.0,1147.75,99.16
Uttar Pradesh,Mau,UTTAR PRADESH - MAU,68000.0,45770.0,6667.0,6624.0,43.0,120437.0,1019.95,99.36
Tamil Nadu,Villupuram,TAMIL NADU - VILLUPURAM,89241.0,25009.0,6042.0,6040.0,2.0,120292.0,1477.01,99.97
Madhya Pradesh,Sehore,MADHYA PRADESH - SEHORE,95159.0,18735.0,5929.0,5876.0,53.0,119823.0,1604.98,99.11
Madhya Pradesh,Seoni,MADHYA PRADESH - SEONI,68060.0,46388.0,5295.0,5285.0,10.0,119743.0,1285.36,99.81
Gujarat,Kheda,GUJARAT - KHEDA,90214.0,22465.0,6781.0,6295.0,486.0,119460.0,1330.39,92.83
Maharashtra,Wardha,MAHARASHTRA - WARDHA,98627.0,18723.0,1695.0,1690.0,5.0,119045.0,5818.7,99.71
Uttar Pradesh,Ambedkar Nagar,UTTAR PRADESH - AMBEDKAR NAGAR,70168.0,41603.0,7076.0,7032.0,44.0,118847.0,991.63,99.38
Uttar Pradesh,Sonbhadra,UTTAR PRADESH - SONBHADRA,76851.0,37327.0,4431.0,4419.0,12.0,118609.0,1734.39,99.73
Haryana,Sirsa,HARYANA - SIRSA,75905.0,39400.0,3065.0,3063.0,2.0,118370.0,2476.51,99.93
Uttar Pradesh,Banda,UTTAR PRADESH - BANDA,69359.0,38965.0,9916.0,9726.0,190.0,118240.0,699.47,98.08
Gujarat,Dahod,GUJARAT - DAHOD,91995.0,15891.0,9743.0,8467.0,1276.0,117629.0,944.22,86.9
Madhya Pradesh,Katni,MADHYA PRADESH - KATNI,70339.0,37031.0,9785.0,9685.0,100.0,117155.0,718.85,98.98
Rajasthan,Banswara,RAJASTHAN - BANSWARA,75507.0,35281.0,6111.0,6084.0,27.0,116899.0,1235.59,99.56
Rajasthan,Hanumangarh,RAJASTHAN - HANUMANGARH,74398.0,37990.0,4396.0,4356.0,40.0,116784.0,1692.4,99.09
Uttar Pradesh,Etah,UTTAR PRADESH - ETAH,71899.0,34134.0,10733.0,10589.0,144.0,116766.0,669.89,98.66
Rajasthan,Ganganagar,RAJASTHAN - GANGANAGAR,80688.0,30522.0,4749.0,4709.0,40.0,115959.0,1699.05,99.16
Haryana,Sonipat,HARYANA - SONIPAT,67104.0,43558.0,4233.0,4199.0,34.0,114895.0,1585.26,99.2
Madhya Pradesh,Bhind,MADHYA PRADESH - BHIND,67915.0,33540.0,13106.0,12502.0,604.0,114561.0,518.2,95.39
Gujarat,Anand,GUJARAT - ANAND,89598.0,18499.0,6201.0,5704.0,497.0,114298.0,1444.9,91.99
Andhra Pradesh,Anantapur,ANDHRA PRADESH - ANANTAPUR,74786.0,34566.0,4025.0,4025.0,0.0,113377.0,1858.04,100.0
Madhya Pradesh,Panna,MADHYA PRADESH - PANNA,79182.0,25216.0,8319.0,8198.0,121.0,112717.0,951.82,98.55
Madhya Pradesh,Shahdol,MADHYA PRADESH - SHAHDOL,74497.0,33554.0,4557.0,4502.0,55.0,112608.0,1634.78,98.79
Bihar,Khagaria,BIHAR - KHAGARIA,58936.0,45222.0,7144.0,7087.0,57.0,111302.0,824.97,99.2
Madhya Pradesh,Mandsaur,MADHYA PRADESH - MANDSAUR,74215.0,29524.0,7487.0,7469.0,18.0,111226.0,991.25,99.76
Rajasthan,Jalor,RAJASTHAN - JALOR,79047.0,19559.0,12391.0,12159.0,232.0,110997.0,637.94,98.13
Rajasthan,Dausa,RAJASTHAN - DAUSA,83563.0,21867.0,5408.0,5361.0,47.0,110838.0,1545.17,99.13
Uttar Pradesh,Sant Kabir Nagar,UTTAR PRADESH - SANT KABIR NAGAR,70048.0,35280.0,5420.0,5386.0,34.0,110748.0,1292.4,99.37
Bihar,Kaimur (Bhabua),BIHAR - KAIMUR (BHABUA),58658.0,44778.0,7199.0,7118.0,81.0,110635.0,814.81,98.87
Haryana,Karnal,HARYANA - KARNAL,74102.0,32851.0,3644.0,3637.0,7.0,110597.0,2033.53,99.81
Gujarat,Mahesana,GUJARAT - MAHESANA,77969.0,26389.0,5967.0,5725.0,242.0,110325.0,1306.67,95.94
Chhattisgarh,Jashpur,CHHATTISGARH - JASHPUR,59052.0,48882.0,2223.0,2221.0,2.0,110157.0,2656.41,99.91
Haryana,Mewat,HARYANA - MEWAT,54283.0,48949.0,6855.0,6838.0,17.0,110087.0,791.87,99.75
Maharashtra,Bhandara,MAHARASHTRA - BHANDARA,81897.0,26551.0,1630.0,1624.0,6.0,110078.0,5024.36,99.63
Haryana,Yamuna Nagar,HARYANA - YAMUNA NAGAR,69322.0,36652.0,3045.0,3037.0,8.0,109019.0,2276.58,99.74
Uttar Pradesh,Etawah,UTTAR PRADESH - ETAWAH,63159.0,39208.0,6548.0,6436.0,112.0,108915.0,964.55,98.29
Madhya Pradesh,Jhabua,MADHYA PRADESH - JHABUA,74737.0,21507.0,12357.0,12040.0,317.0,108601.0,604.82,97.43
Chhattisgarh,Mungeli,CHHATTISGARH - MUNGELI,64907.0,40737.0,2683.0,2681.0,2.0,108327.0,2419.19,99.93
Odisha,Baleswar,ODISHA - BALESWAR,83447.0,19399.0,5308.0,5305.0,3.0,108154.0,1572.1,99.94
Andhra Pradesh,Hyderabad,ANDHRA PRADESH - HYDERABAD,83782.0,19544.0,4418.0,4417.0,1.0,107744.0,1896.38,99.98
Gujarat,Gandhinagar,GUJARAT - GANDHINAGAR,60491.0,41930.0,5184.0,4516.0,668.0,107605.0,1166.88,87.11
Haryana,Jind,HARYANA - JIND,71587.0,32177.0,3497.0,3497.0,0.0,107261.0,2047.1,100.0
Assam,Cachar,ASSAM - CACHAR,54394.0,36076.0,16579.0,15068.0,1511.0,107049.0,328.09,90.89
Punjab,Hoshiarpur,PUNJAB - HOSHIARPUR,71301.0,31731.0,3821.0,3605.0,216.0,106853.0,1866.03,94.35
Odisha,Kendujhar,ODISHA - KENDUJHAR,76460.0,24893.0,4620.0,4605.0,15.0,105973.0,1654.98,99.68
Bihar,Jamui,BIHAR - JAMUI,58234.0,37938.0,9689.0,9541.0,148.0,105861.0,601.03,98.47
Karnataka,Dharwad,KARNATAKA - DHARWAD,67447.0,32887.0,4583.0,4564.0,19.0,104917.0,1471.68,99.59
Odisha,Koraput,ODISHA - KORAPUT,77821.0,22519.0,3853.0,3808.0,45.0,104193.0,2019.75,98.83
Uttar Pradesh,Mainpuri,UTTAR PRADESH - MAINPURI,59347.0,33499.0,10755.0,10576.0,179.0,103601.0,551.81,98.34
Uttar Pradesh,Kanpur Dehat,UTTAR PRADESH - KANPUR DEHAT,60057.0,35766.0,7423.0,7248.0,175.0,103246.0,809.07,97.64
Assam,Dhubri,ASSAM - DHUBRI,44154.0,47689.0,11292.0,11027.0,265.0,103135.0,391.02,97.65
Uttar Pradesh,Farrukhabad,UTTAR PRADESH - FARRUKHABAD,60768.0,37051.0,5256.0,5179.0,77.0,103075.0,1156.16,98.54
Gujarat,Junagadh,GUJARAT - JUNAGADH,80108.0,17802.0,4854.0,4764.0,90.0,102764.0,1650.35,98.15
Chhattisgarh,Balod,CHHATTISGARH - BALOD,62735.0,38075.0,1497.0,1493.0,4.0,102307.0,4190.71,99.73
Rajasthan,Dholpur,RAJASTHAN - DHOLPUR,60482.0,34045.0,7745.0,7600.0,145.0,102272.0,780.92,98.13
West Bengal,Dakshin Dinajpur,WEST BENGAL - DAKSHIN DINAJPUR,36778.0,59047.0,5968.0,5876.0,92.0,101793.0,616.25,98.46
Haryana,Palwal,HARYANA - PALWAL,46551.0,50564.0,4335.0,4332.0,3.0,101450.0,1073.84,99.93
Odisha,Kalahandi,ODISHA - KALAHANDI,71772.0,25271.0,3995.0,3941.0,54.0,101038.0,1796.55,98.65
Manipur,Imphal West,MANIPUR - IMPHAL WEST,55978.0,43970.0,1081.0,1050.0,31.0,101029.0,5178.35,97.13
Tamil Nadu,Ramanathapuram,TAMIL NADU - RAMANATHAPURAM,76720.0,20468.0,3535.0,3496.0,39.0,100723.0,2170.3,98.9
Jammu and Kashmir,Jammu,JAMMU AND KASHMIR - JAMMU,77636.0,18619.0,4034.0,4003.0,31.0,100289.0,1924.54,99.23
Gujarat,Panchmahals,GUJARAT - PANCHMAHALS,78429.0,16227.0,5608.0,5295.0,313.0,100264.0,1398.52,94.42
Haryana,Bhiwani,HARYANA - BHIWANI,74762.0,22090.0,3181.0,3165.0,16.0,100033.0,2350.27,99.5
Jharkhand,Garhwa,JHARKHAND - GARHWA,74062.0,20627.0,5329.0,5314.0,15.0,100018.0,1389.79,99.72
Punjab,Bathinda,PUNJAB - BATHINDA,72229.0,25110.0,2398.0,2380.0,18.0,99737.0,3012.05,99.25
Tamil Nadu,Dharmapuri,TAMIL NADU - DHARMAPURI,71830.0,22196.0,5107.0,5081.0,26.0,99133.0,1406.5,99.49
Chhattisgarh,Dhamtari,CHHATTISGARH - DHAMTARI,71268.0,25841.0,1786.0,1783.0,3.0,98895.0,3990.37,99.83
Rajasthan,Tonk,RAJASTHAN - TONK,62736.0,30594.0,5357.0,5297.0,60.0,98687.0,1171.1,98.88
Uttar Pradesh,Hathras,UTTAR PRADESH - HATHRAS,62741.0,29894.0,5838.0,5763.0,75.0,98473.0,1074.7,98.72
Rajasthan,Dungarpur,RAJASTHAN - DUNGARPUR,68613.0,24180.0,5627.0,5575.0,52.0,98420.0,1219.35,99.08
Odisha,Bhadrak,ODISHA - BHADRAK,75075.0,19069.0,4027.0,4013.0,14.0,98171.0,1864.29,99.65
Kerala,Alappuzha,KERALA - ALAPPUZHA,71522.0,23459.0,3172.0,3051.0,121.0,98153.0,2254.79,96.19
Jharkhand,Gumla,JHARKHAND - GUMLA,68360.0,23791.0,5982.0,5890.0,92.0,98133.0,1142.76,98.46
Madhya Pradesh,Ashok Nagar,MADHYA PRADESH - ASHOK NAGAR,61357.0,32053.0,4717.0,4556.0,161.0,98127.0,1300.76,96.59
Telangana,Adilabad,TELANGANA - ADILABAD,64946.0,30369.0,2718.0,2716.0,2.0,98033.0,2389.48,99.93
Gujarat,Surendra Nagar,GUJARAT - SURENDRA NAGAR,74191.0,17605.0,6227.0,5899.0,328.0,98023.0,1191.44,94.73
Gujarat,Valsad,GUJARAT - VALSAD,65310.0,25597.0,6770.0,6554.0,216.0,97677.0,964.7,96.81
Odisha,Nabarangapur,ODISHA - NABARANGAPUR,71083.0,20954.0,5588.0,5524.0,64.0,97625.0,1272.07,98.85
Manipur,Thoubal,MANIPUR - THOUBAL,51078.0,45098.0,939.0,933.0,6.0,97115.0,5439.62,99.36
Karnataka,Dakshina Kannada,KARNATAKA - DAKSHINA KANNADA,63102.0,27897.0,5820.0,5743.0,77.0,96819.0,1084.23,98.68
Karnataka,Davangere,KARNATAKA - DAVANGERE,71514.0,20633.0,4276.0,4234.0,42.0,96423.0,1672.45,99.02
Telangana,Warangal,TELANGANA - WARANGAL,75915.0,17616.0,2714.0,2714.0,0.0,96245.0,2797.16,100.0
Gujarat,Sabarkantha,GUJARAT - SABARKANTHA,71379.0,20353.0,4440.0,4126.0,314.0,96172.0,1607.64,92.93
Chhattisgarh,Kondagaon,CHHATTISGARH - KONDAGAON,45137.0,48421.0,2511.0,2502.0,9.0,96069.0,1797.57,99.64
Rajasthan,Karauli,RAJASTHAN - KARAULI,64278.0,23800.0,7808.0,7704.0,104.0,95886.0,823.23,98.67
Madhya Pradesh,Mandla,MADHYA PRADESH - MANDLA,50502.0,40958.0,4197.0,4192.0,5.0,95657.0,1203.29,99.88
Manipur,Imphal East,MANIPUR - IMPHAL EAST,53290.0,41355.0,987.0,979.0,8.0,95632.0,5399.19,99.19
Tamil Nadu,Sivaganga,TAMIL NADU - SIVAGANGA,71876.0,19789.0,3897.0,3878.0,19.0,95562.0,1844.39,99.51
Odisha,Khorda,ODISHA - KHORDA,74346.0,17156.0,3718.0,3591.0,127.0,95220.0,1999.62,96.58
Odisha,Sundergarh,ODISHA - SUNDERGARH,74077.0,17591.0,3440.0,3429.0,11.0,95108.0,2153.4,99.68
Rajasthan,Baran,RAJASTHAN - BARAN,59738.0,29865.0,5480.0,5404.0,76.0,95083.0,1090.11,98.61
Uttar Pradesh,Jalaun,UTTAR PRADESH - JALAUN,57870.0,32016.0,4998.0,4891.0,107.0,94884.0,1157.86,97.86
Chhattisgarh,Balrampur,CHHATTISGARH - BALRAMPUR,42707.0,46521.0,5612.0,5544.0,68.0,94840.0,760.99,98.79
Odisha,Balangir,ODISHA - BALANGIR,70420.0,19763.0,4618.0,4562.0,56.0,94801.0,1524.9,98.79
Jharkhand,Godda,JHARKHAND - GODDA,60043.0,29773.0,4887.0,4871.0,16.0,94703.0,1228.63,99.67
Tamil Nadu,Viluppuram,TAMIL NADU - VILUPPURAM,64139.0,26013.0,4535.0,4535.0,0.0,94687.0,1414.31,100.0
Uttar Pradesh,Kannauj,UTTAR PRADESH - KANNAUJ,57312.0,31112.0,6053.0,5970.0,83.0,94477.0,946.84,98.63
Karnataka,Bagalkot,KARNATAKA - BAGALKOT,60055.0,27859.0,6411.0,6336.0,75.0,94325.0,936.75,98.83
Karnataka,Belagavi,KARNATAKA - BELAGAVI,60370.0,26899.0,6973.0,6856.0,117.0,94242.0,865.77,98.32
Rajasthan,Jhalawar,RAJASTHAN - JHALAWAR,62428.0,25239.0,6307.0,6253.0,54.0,93974.0,989.82,99.14
Karnataka,Haveri,KARNATAKA - HAVERI,52110.0,37682.0,3812.0,3759.0,53.0,93604.0,1367.0,98.61
Haryana,Kaithal,HARYANA - KAITHAL,63910.0,26572.0,2760.0,2748.0,12.0,93242.0,2315.58,99.57
Madhya Pradesh,Hoshangabad,MADHYA PRADESH - HOSHANGABAD,79965.0,7409.0,5398.0,5386.0,12.0,92772.0,1481.38,99.78
Rajasthan,Sawai Madhopur,RAJASTHAN - SAWAI MADHOPUR,64307.0,21516.0,6038.0,5953.0,85.0,91861.0,1065.04,98.59
Gujarat,Jamnagar,GUJARAT - JAMNAGAR,63484.0,22673.0,5481.0,5215.0,266.0,91638.0,1158.26,95.15
Tripura,West Tripura,TRIPURA - WEST TRIPURA,65417.0,23417.0,2577.0,2505.0,72.0,91411.0,2538.49,97.21
Karnataka,Bidar,KARNATAKA - BIDAR,62664.0,23076.0,4421.0,4359.0,62.0,90161.0,1417.42,98.6
Uttar Pradesh,Kasganj,UTTAR PRADESH - KASGANJ,57834.0,26335.0,5890.0,5748.0,142.0,90059.0,981.9,97.59
Punjab,SAS Nagar (Mohali),PUNJAB - SAS NAGAR (MOHALI),46947.0,40173.0,2664.0,2608.0,56.0,89784.0,1762.27,97.9
Himachal Pradesh,Kangra,HIMACHAL PRADESH - KANGRA,67373.0,18632.0,3583.0,3566.0,17.0,89588.0,1880.35,99.53
Tamil Nadu,Theni,TAMIL NADU - THENI,63826.0,22585.0,3030.0,3028.0,2.0,89441.0,2106.47,99.93
Uttar Pradesh,Lalitpur,UTTAR PRADESH - LALITPUR,61393.0,23245.0,4254.0,4187.0,67.0,88892.0,1443.18,98.43
Tamil Nadu,Nagapattinam,TAMIL NADU - NAGAPATTINAM,60466.0,24801.0,3512.0,3512.0,0.0,88779.0,1721.7,100.0
Bihar,Buxar,BIHAR - BUXAR,43568.0,38756.0,6331.0,6268.0,63.0,88655.0,688.17,99.0
Madhya Pradesh,Dindori,MADHYA PRADESH - DINDORI,49328.0,36536.0,2310.0,2309.0,1.0,88174.0,2135.41,99.96
Telangana,Khammam,TELANGANA - KHAMMAM,51150.0,33272.0,3611.0,3602.0,9.0,88033.0,1416.51,99.75
Jharkhand,Hazaribagh,JHARKHAND - HAZARIBAGH,56407.0,25789.0,5458.0,5427.0,31.0,87654.0,1033.47,99.43
Uttarakhand,Nainital,UTTARAKHAND - NAINITAL,47882.0,36195.0,3549.0,3484.0,65.0,87626.0,1349.17,98.17
Odisha,Bargarh,ODISHA - BARGARH,63298.0,19439.0,4544.0,4542.0,2.0,87281.0,1393.0,99.96
Gujarat,Bharuch,GUJARAT - BHARUCH,58649.0,24542.0,3873.0,3785.0,88.0,87064.0,1514.3,97.73
Jharkhand,Dumka,JHARKHAND - DUMKA,55572.0,26084.0,5339.0,5254.0,85.0,86995.0,1040.87,98.41
Rajasthan,Sirohi,RAJASTHAN - SIROHI,55947.0,21235.0,9725.0,9364.0,361.0,86907.0,575.29,96.29
Kerala,Kottayam,KERALA - KOTTAYAM,63741.0,20178.0,2976.0,2925.0,51.0,86895.0,2141.83,98.29
Karnataka,Kalaburagi,KARNATAKA - KALABURAGI,54539.0,27151.0,4344.0,4264.0,80.0,86034.0,1255.5,98.16
Haryana,Fatehabad,HARYANA - FATEHABAD,53523.0,29384.0,2367.0,2358.0,9.0,85274.0,2261.22,99.62
Jharkhand,Sahebganj,JHARKHAND - SAHEBGANJ,47178.0,31938.0,5847.0,5833.0,14.0,84963.0,806.88,99.76
Uttar Pradesh,Sant Ravidas Nagar,UTTAR PRADESH - SANT RAVIDAS NAGAR,54034.0,26537.0,3933.0,3930.0,3.0,84504.0,1373.86,99.92
Karnataka,Kolar,KARNATAKA - KOLAR,49325.0,30720.0,3800.0,3772.0,28.0,83845.0,1298.03,99.26
Uttar Pradesh,Baghpat,UTTAR PRADESH - BAGHPAT,45067.0,32462.0,6121.0,5970.0,151.0,83650.0,736.27,97.53
Haryana,Ambala,HARYANA - AMBALA,57102.0,23212.0,2954.0,2925.0,29.0,83268.0,1933.04,99.02
Chhattisgarh,Kawardha,CHHATTISGARH - KAWARDHA,44140.0,37128.0,1926.0,1925.0,1.0,83194.0,2291.8,99.95
